Time(us),ToF1_Dist(mm),ToF2_Dist(mm),ToF3_Dist(mm),,Time (s),ToF1_Dist (cm),ToF2_Dist (cm),ToF3_Dist (cm)
2,24,64,95,,0.000002,2.4,6.4,9.5
200002,0,63,93,,0.200002,0,6.3,9.3
400002,30,64,94,,0.400002,3,6.4,9.4
600002,0,64,94,,0.600002,0,6.4,9.4
800002,28,65,95,,0.800002,2.8,6.5,9.5
1000002,0,63,95,,1.000002,0,6.3,9.5
1200002,31,65,96,,1.200002,3.1,6.5,9.6
1400002,0,64,94,,1.400002,0,6.4,9.4
1600002,29,64,95,,1.600002,2.9,6.4,9.5
1800002,0,63,95,,1.800002,0,6.3,9.5
2000002,26,64,95,,2.000002,2.6,6.4,9.5
2200002,0,64,96,,2.200002,0,6.4,9.6
2400002,25,65,95,,2.400002,2.5,6.5,9.5
2600002,0,64,94,,2.600002,0,6.4,9.4
2800002,23,65,95,,2.800002,2.3,6.5,9.5
3000002,0,64,95,,3.000002,0,6.4,9.5
3200002,22,64,94,,3.200002,2.2,6.4,9.4
3400002,0,64,93,,3.400002,0,6.4,9.3
3600002,22,64,94,,3.600002,2.2,6.4,9.4
3800002,0,64,94,,3.800002,0,6.4,9.4
4000002,24,64,95,,4.000002,2.4,6.4,9.5
4200002,0,64,94,,4.200002,0,6.4,9.4
4400002,19,64,94,,4.400002,1.9,6.4,9.4
4600002,0,64,94,,4.600002,0,6.4,9.4
4800002,23,64,93,,4.800002,2.3,6.4,9.3
5000002,0,64,95,,5.000002,0,6.4,9.5
5200002,27,64,95,,5.200002,2.7,6.4,9.5
5400002,0,64,95,,5.400002,0,6.4,9.5
5600002,28,64,94,,5.600002,2.8,6.4,9.4
5800002,0,64,94,,5.800002,0,6.4,9.4
6000002,29,64,95,,6.000002,2.9,6.4,9.5
6200002,0,65,92,,6.200002,0,6.5,9.2
6400002,27,64,95,,6.400002,2.7,6.4,9.5
6600002,0,65,95,,6.600002,0,6.5,9.5
6800002,26,64,93,,6.800002,2.6,6.4,9.3
7000002,0,64,94,,7.000002,0,6.4,9.4
7200002,24,63,94,,7.200002,2.4,6.3,9.4
7400002,0,64,95,,7.400002,0,6.4,9.5
7600002,23,64,94,,7.600002,2.3,6.4,9.4
7800002,0,63,94,,7.800002,0,6.3,9.4
8000002,25,64,93,,8.000002,2.5,6.4,9.3
8200002,0,64,94,,8.200002,0,6.4,9.4
8400002,24,65,95,,8.400002,2.4,6.5,9.5
8600002,0,63,94,,8.600002,0,6.3,9.4
8800002,24,64,94,,8.800002,2.4,6.4,9.4
9000002,0,64,94,,9.000002,0,6.4,9.4
9200002,25,64,95,,9.200002,2.5,6.4,9.5
9400002,0,65,94,,9.400002,0,6.5,9.4
9600002,27,64,95,,9.600002,2.7,6.4,9.5
9800002,0,64,94,,9.800002,0,6.4,9.4
