Time(us),Position(counts),Speed(rad/s)
2,-210336,0.0000
5002,-210336,0.0000
10004,-210336,0.0000
15007,-210336,0.0000
20008,-210337,1.0431
25010,-210338,1.0429
30010,-210338,0.0000
35010,-210338,0.0000
40011,-210338,0.0000
45013,-210338,0.0000
50015,-210339,1.0429
55016,-210339,0.0000
60018,-210339,0.0000
65019,-210339,0.0000
70021,-210339,0.0000
75023,-210339,0.0000
80024,-210339,0.0000
85026,-210339,0.0000
90027,-210339,0.0000
95029,-210339,0.0000
100031,-210339,0.0000
105032,-210339,0.0000
110034,-210339,0.0000
115035,-210339,0.0000
120037,-210339,0.0000
125038,-210339,0.0000
130040,-210339,0.0000
135042,-210339,0.0000
140043,-210339,0.0000
145045,-210339,0.0000
150047,-210339,0.0000
155048,-210339,0.0000
160050,-210339,0.0000
165051,-210339,0.0000
170053,-210339,0.0000
175054,-210339,0.0000
180056,-210339,0.0000
185058,-210339,0.0000
190059,-210339,0.0000
195061,-210339,0.0000
200062,-210339,0.0000
205064,-210339,0.0000
210066,-210339,0.0000
215067,-210339,0.0000
220069,-210339,0.0000
225070,-210339,0.0000
230072,-210339,0.0000
235074,-210339,0.0000
240075,-210339,0.0000
245077,-210339,0.0000
250078,-210339,0.0000
255080,-210339,0.0000
260082,-210339,0.0000
265083,-210339,0.0000
270085,-210339,0.0000
275086,-210339,0.0000
280088,-210339,0.0000
285090,-210339,0.0000
290091,-210339,0.0000
295093,-210339,0.0000
300094,-210339,0.0000
305096,-210339,0.0000
310098,-210339,0.0000
315099,-210339,0.0000
320101,-210339,0.0000
325102,-210339,0.0000
330104,-210339,0.0000
335105,-210339,0.0000
340107,-210339,0.0000
345109,-210339,0.0000
350110,-210339,0.0000
355112,-210339,0.0000
360114,-210339,0.0000
365115,-210339,0.0000
370117,-210339,0.0000
375118,-210339,0.0000
380120,-210339,0.0000
385121,-210339,0.0000
390123,-210339,0.0000
395125,-210339,0.0000
400126,-210339,0.0000
405128,-210339,0.0000
410129,-210339,0.0000
415131,-210339,0.0000
420133,-210339,0.0000
425134,-210339,0.0000
430136,-210339,0.0000
435137,-210339,0.0000
440139,-210339,0.0000
445141,-210339,0.0000
450142,-210339,0.0000
455144,-210339,0.0000
460145,-210339,0.0000
465147,-210339,0.0000
470149,-210339,0.0000
475150,-210339,0.0000
480152,-210339,0.0000
485153,-210339,0.0000
490155,-210339,0.0000
495157,-210339,0.0000
500158,-210339,0.0000
505160,-210339,0.0000
510161,-210339,0.0000
515163,-210339,0.0000
520165,-210339,0.0000
525166,-210339,0.0000
530168,-210339,0.0000
535169,-210339,0.0000
540171,-210339,0.0000
545172,-210339,0.0000
550174,-210339,0.0000
555176,-210339,0.0000
560177,-210339,0.0000
565179,-210339,0.0000
570181,-210339,0.0000
575182,-210339,0.0000
580184,-210339,0.0000
585185,-210339,0.0000
590187,-210339,0.0000
595188,-210339,0.0000
600190,-210339,0.0000
605192,-210339,0.0000
610193,-210339,0.0000
615195,-210339,0.0000
620196,-210339,0.0000
625198,-210339,0.0000
630200,-210339,0.0000
635201,-210339,0.0000
640203,-210339,0.0000
645204,-210339,0.0000
650206,-210339,0.0000
655208,-210339,0.0000
660209,-210339,0.0000
665211,-210339,0.0000
670212,-210339,0.0000
675214,-210339,0.0000
680216,-210339,0.0000
685217,-210339,0.0000
690219,-210339,0.0000
695220,-210339,0.0000
700222,-210339,0.0000
705224,-210339,0.0000
710225,-210339,0.0000
715227,-210339,0.0000
720228,-210339,0.0000
725230,-210339,0.0000
730232,-210339,0.0000
735233,-210339,0.0000
740235,-210339,0.0000
