Time(us),Position(counts),Speed(rad/s)
2,-317090,0.0000
5002,-317090,0.0000
10004,-317090,0.0000
15007,-317090,0.0000
20008,-317091,1.0431
25010,-317092,1.0429
30010,-317092,0.0000
35010,-317094,2.0867
40010,-317095,1.0433
45012,-317096,1.0429
50013,-317098,2.0863
55015,-317100,2.0858
60016,-317103,3.1294
65016,-317105,2.0867
70018,-317108,3.1288
75020,-317111,3.1288
80021,-317114,3.1294
85023,-317117,3.1288
90023,-317121,4.1733
95024,-317124,3.1294
100026,-317128,4.1717
105027,-317132,4.1725
110029,-317136,4.1717
115029,-317140,4.1733
120031,-317144,4.1717
125032,-317148,4.1725
130034,-317153,5.2146
135035,-317158,5.2156
140036,-317162,4.1725
145037,-317167,5.2156
150039,-317172,5.2146
155040,-317177,5.2156
160042,-317182,5.2146
165044,-317186,4.1717
170045,-317191,5.2156
175047,-317196,5.2146
180048,-317201,5.2156
185050,-317206,5.2146
190051,-317210,4.1725
195053,-317215,5.2146
200054,-317220,5.2156
205055,-317224,4.1725
210056,-317228,4.1725
215058,-317232,4.1717
220059,-317236,4.1725
225061,-317239,3.1288
230061,-317242,3.1300
235063,-317246,4.1717
240064,-317249,3.1294
245066,-317252,3.1288
250067,-317255,3.1294
255068,-317258,3.1294
260069,-317262,4.1725
265071,-317265,3.1288
270072,-317268,3.1294
275074,-317272,4.1717
280074,-317275,3.1300
285076,-317278,3.1288
290077,-317281,3.1294
295078,-317284,3.1294
300080,-317288,4.1717
305080,-317291,3.1300
310082,-317294,3.1288
315083,-317297,3.1294
320085,-317300,3.1288
325086,-317303,3.1294
330087,-317306,3.1294
335088,-317309,3.1294
340090,-317312,3.1288
345091,-317316,4.1725
350093,-317319,3.1288
355093,-317322,3.1300
360095,-317326,4.1717
365096,-317329,3.1294
370098,-317332,3.1288
375099,-317336,4.1725
380099,-317340,4.1733
385101,-317343,3.1288
390103,-317346,3.1288
395104,-317350,4.1725
400105,-317353,3.1294
405106,-317357,4.1725
410107,-317360,3.1294
415109,-317364,4.1717
420110,-317368,4.1725
425112,-317372,4.1717
430112,-317375,3.1300
435114,-317379,4.1717
440115,-317383,4.1725
445117,-317387,4.1717
450118,-317392,5.2156
455119,-317396,4.1725
460120,-317400,4.1725
465122,-317404,4.1717
470123,-317408,4.1725
475125,-317412,4.1717
480125,-317417,5.2167
485127,-317421,4.1717
490128,-317426,5.2156
495130,-317430,4.1717
500131,-317435,5.2156
505133,-317439,4.1717
510134,-317444,5.2156
515136,-317448,4.1717
520138,-317453,5.2146
525139,-317457,4.1725
530141,-317462,5.2146
535143,-317466,4.1717
540144,-317470,4.1725
545145,-317475,5.2156
550147,-317480,5.2146
555147,-317484,4.1733
560149,-317489,5.2146
565150,-317494,5.2156
570152,-317498,4.1717
575154,-317503,5.2146
580155,-317508,5.2156
585157,-317513,5.2146
590158,-317518,5.2156
595160,-317523,5.2146
600162,-317528,5.2146
605163,-317532,4.1725
610165,-317537,5.2146
615166,-317542,5.2156
620166,-317547,5.2167
625168,-317552,5.2146
630170,-317557,5.2146
635171,-317562,5.2156
640173,-317568,6.2575
645174,-317573,5.2156
650176,-317578,5.2146
655178,-317583,5.2146
660179,-317589,6.2588
665181,-317594,5.2146
670182,-317599,5.2156
675184,-317605,6.2575
680185,-317610,5.2156
685187,-317616,6.2575
690189,-317621,5.2146
695190,-317627,6.2588
700192,-317632,5.2146
705194,-317638,6.2575
710195,-317644,6.2588
715196,-317650,6.2588
720198,-317655,5.2146
725198,-317661,6.2600
730200,-317667,6.2575
735201,-317673,6.2588
740203,-317679,6.2575
745204,-317685,6.2588
750205,-317691,6.2588
755206,-317697,6.2588
760208,-317703,6.2575
765209,-317709,6.2588
770211,-317716,7.3004
775211,-317722,6.2600
780213,-317728,6.2575
785214,-317735,7.3019
790216,-317741,6.2575
795217,-317748,7.3019
800217,-317754,6.2600
805219,-317761,7.3004
810221,-317767,6.2575
815222,-317774,7.3019
820224,-317780,6.2575
825224,-317787,7.3034
830225,-317794,7.3019
835227,-317801,7.3004
840228,-317808,7.3019
845230,-317814,6.2575
850230,-317821,7.3034
855232,-317828,7.3004
860233,-317835,7.3019
865235,-317842,7.3004
870236,-317849,7.3019
875237,-317856,7.3019
880238,-317863,7.3019
885240,-317870,7.3004
890241,-317877,7.3019
895243,-317884,7.3004
900243,-317892,8.3467
905245,-317899,7.3004
910246,-317906,7.3019
915248,-317913,7.3004
920249,-317920,7.3019
925249,-317928,8.3467
930251,-317935,7.3004
935252,-317942,7.3019
940254,-317950,8.3434
945255,-317957,7.3019
950256,-317964,7.3019
955257,-317972,8.3450
960259,-317979,7.3004
965260,-317986,7.3019
970262,-317994,8.3434
975262,-318001,7.3034
980264,-318008,7.3004
985265,-318016,8.3450
990267,-318024,8.3434
995268,-318031,7.3019
1000269,-318038,7.3019
1005270,-318046,8.3450
1010272,-318053,7.3004
1015273,-318061,8.3450
1020275,-318069,8.3434
1025275,-318076,7.3034
1030277,-318084,8.3434
1035278,-318091,7.3019
1040279,-318099,8.3450
1045281,-318106,7.3004
1050281,-318114,8.3467
1055283,-318122,8.3434
1060284,-318129,7.3019
1065286,-318137,8.3434
1070287,-318145,8.3450
1075288,-318152,7.3019
1080289,-318160,8.3450
1085291,-318168,8.3434
1090292,-318175,7.3019
1095294,-318183,8.3434
1100294,-318191,8.3467
1105296,-318198,7.3004
1110297,-318206,8.3450
1115299,-318214,8.3434
1120300,-318222,8.3450
1125300,-318229,7.3034
1130302,-318237,8.3434
1135304,-318245,8.3434
1140305,-318253,8.3450
1145306,-318260,7.3019
1150307,-318268,8.3450
1155308,-318276,8.3450
1160310,-318284,8.3434
1165311,-318291,7.3019
1170313,-318299,8.3434
1175313,-318307,8.3467
1180315,-318314,7.3004
1185316,-318322,8.3450
1190318,-318330,8.3434
1195319,-318338,8.3450
1200320,-318345,7.3019
1205321,-318353,8.3450
1210323,-318361,8.3434
1215324,-318368,7.3019
1220326,-318376,8.3434
1225326,-318384,8.3467
1230328,-318391,7.3004
1235329,-318399,8.3450
1240330,-318406,7.3019
1245332,-318414,8.3434
1250332,-318422,8.3467
1255334,-318429,7.3004
1260335,-318436,7.3019
1265337,-318444,8.3434
1270338,-318450,6.2588
1275339,-318456,6.2588
1280340,-318463,7.3019
1285342,-318469,6.2575
1290343,-318475,6.2588
1295345,-318481,6.2575
1300345,-318487,6.2600
1305347,-318493,6.2575
1310348,-318498,5.2156
1315350,-318504,6.2575
1320351,-318510,6.2588
1325353,-318515,5.2146
1330354,-318521,6.2588
1335355,-318526,5.2156
1340356,-318531,5.2156
1345358,-318536,5.2146
1350359,-318542,6.2588
1355361,-318546,4.1717
1360362,-318551,5.2156
1365364,-318556,5.2146
1370364,-318561,5.2167
1375366,-318566,5.2146
1380367,-318571,5.2156
1385369,-318576,5.2146
1390371,-318581,5.2146
1395372,-318585,4.1725
1400374,-318590,5.2146
1405375,-318595,5.2156
1410377,-318600,5.2146
1415379,-318604,4.1717
1420380,-318609,5.2156
1425382,-318614,5.2146
1430383,-318618,4.1725
1435385,-318623,5.2146
1440386,-318628,5.2156
1445387,-318633,5.2156
1450388,-318638,5.2156
1455390,-318643,5.2146
1460391,-318648,5.2156
1465393,-318653,5.2146
1470395,-318658,5.2146
1475396,-318663,5.2156
1480398,-318668,5.2146
1485399,-318673,5.2156
1490401,-318678,5.2146
1495403,-318684,6.2575
1500404,-318689,5.2156
1505406,-318694,5.2146
1510407,-318699,5.2156
1515409,-318704,5.2146
1520411,-318709,5.2146
1525412,-318714,5.2156
1530414,-318719,5.2146
1535415,-318724,5.2156
1540417,-318729,5.2146
1545418,-318734,5.2156
1550420,-318739,5.2146
1555422,-318745,6.2575
1560423,-318750,5.2156
1565425,-318755,5.2146
1570426,-318761,6.2588
1575428,-318766,5.2146
1580430,-318771,5.2146
1585431,-318776,5.2156
1590433,-318782,6.2575
1595434,-318787,5.2156
1600436,-318792,5.2146
1605438,-318797,5.2146
1610439,-318802,5.2156
1615441,-318808,6.2575
1620442,-318813,5.2156
1625444,-318818,5.2146
1630444,-318824,6.2600
1635446,-318829,5.2146
1640447,-318834,5.2156
1645449,-318840,6.2575
1650450,-318846,6.2588
1655452,-318851,5.2146
1660453,-318857,6.2588
1665454,-318862,5.2156
1670455,-318868,6.2588
1675457,-318874,6.2575
1680458,-318879,5.2156
1685460,-318885,6.2575
1690460,-318891,6.2600
1695462,-318897,6.2575
1700463,-318902,5.2156
1705465,-318908,6.2575
1710466,-318914,6.2588
1715468,-318920,6.2575
1720469,-318926,6.2588
1725470,-318932,6.2588
1730471,-318939,7.3019
1735473,-318945,6.2575
1740474,-318951,6.2588
1745476,-318958,7.3004
1750476,-318964,6.2600
1755478,-318970,6.2575
1760479,-318977,7.3019
1765480,-318983,6.2588
1770482,-318990,7.3004
1775482,-318996,6.2600
1780484,-319003,7.3004
1785485,-319009,6.2588
1790487,-319016,7.3004
1795488,-319023,7.3019
1800489,-319029,6.2588
1805490,-319036,7.3019
1810492,-319043,7.3004
1815493,-319050,7.3019
1820495,-319057,7.3004
1825495,-319064,7.3034
1830497,-319070,6.2575
1835498,-319077,7.3019
1840500,-319084,7.3004
1845501,-319091,7.3019
1850501,-319098,7.3034
1855503,-319105,7.3004
1860505,-319112,7.3004
1865506,-319120,8.3450
1870507,-319127,7.3019
1875508,-319134,7.3019
1880509,-319141,7.3019
1885511,-319148,7.3004
1890512,-319155,7.3019
1895514,-319162,7.3004
1900514,-319170,8.3467
1905516,-319177,7.3004
1910517,-319184,7.3019
1915519,-319192,8.3434
1920520,-319199,7.3019
1925521,-319206,7.3019
1930522,-319213,7.3019
1935524,-319221,8.3434
1940525,-319228,7.3019
1945527,-319235,7.3004
1950527,-319243,8.3467
