Time(us),Position(counts),Speed(rad/s)
2,2,0.0000
5003,0,-2.0863
10004,-8,-8.3450
15004,-20,-12.5200
20006,-36,-16.6867
25007,-54,-18.7763
30008,-74,-20.8626
35009,-96,-22.9488
40011,-119,-23.9872
45012,-143,-25.0351
50012,-168,-26.0834
55014,-193,-26.0730
60015,-218,-26.0782
65016,-244,-27.1213
70017,-269,-26.0782
75018,-295,-27.1213
80019,-320,-26.0782
85020,-346,-27.1213
90022,-371,-26.0730
95023,-397,-27.1213
100024,-422,-26.0782
105025,-448,-27.1213
110026,-474,-27.1213
115027,-500,-27.1213
120028,-526,-27.1213
125029,-552,-27.1213
130030,-579,-28.1645
135031,-605,-27.1213
140032,-632,-28.1645
145033,-658,-27.1213
150035,-685,-28.1588
155036,-712,-28.1645
160037,-738,-27.1213
165038,-765,-28.1645
170039,-792,-28.1645
175040,-819,-28.1645
180041,-846,-28.1645
185042,-873,-28.1645
190043,-900,-28.1645
195044,-927,-28.1645
200045,-954,-28.1645
205046,-981,-28.1645
210047,-1008,-28.1645
215048,-1034,-27.1213
220049,-1061,-28.1645
225051,-1088,-28.1588
230052,-1116,-29.2076
235053,-1143,-28.1645
240054,-1170,-28.1645
245055,-1196,-27.1213
250056,-1224,-29.2076
255057,-1250,-27.1213
260058,-1278,-29.2076
265059,-1305,-28.1645
270060,-1332,-28.1645
275061,-1359,-28.1645
280062,-1386,-28.1645
285063,-1413,-28.1645
290064,-1440,-28.1645
295065,-1467,-28.1645
300067,-1494,-28.1588
305068,-1522,-29.2076
310069,-1549,-28.1645
315070,-1576,-28.1645
320071,-1603,-28.1645
325072,-1631,-29.2076
330073,-1658,-28.1645
335074,-1685,-28.1645
340075,-1712,-28.1645
345076,-1740,-29.2076
350077,-1767,-28.1645
355078,-1795,-29.2076
360080,-1822,-28.1588
365081,-1850,-29.2076
370082,-1877,-28.1645
375083,-1905,-29.2076
380084,-1933,-29.2076
385085,-1961,-29.2076
390086,-1989,-29.2076
395087,-2017,-29.2076
400088,-2045,-29.2076
405089,-2073,-29.2076
410090,-2101,-29.2076
415091,-2129,-29.2076
420092,-2157,-29.2076
425093,-2185,-29.2076
430094,-2213,-29.2076
435096,-2241,-29.2018
440097,-2269,-29.2076
445098,-2297,-29.2076
450099,-2326,-30.2507
455100,-2354,-29.2076
460101,-2382,-29.2076
465102,-2410,-29.2076
470103,-2438,-29.2076
475104,-2466,-29.2076
480105,-2494,-29.2076
485106,-2522,-29.2076
490107,-2550,-29.2076
495108,-2578,-29.2076
500109,-2606,-29.2076
505110,-2634,-29.2076
510112,-2662,-29.2018
515113,-2690,-29.2076
520114,-2718,-29.2076
525115,-2746,-29.2076
530116,-2775,-30.2507
535117,-2803,-29.2076
540118,-2831,-29.2076
545119,-2859,-29.2076
550120,-2887,-29.2076
555121,-2915,-29.2076
560122,-2943,-29.2076
565123,-2972,-30.2507
570125,-3000,-29.2018
575126,-3028,-29.2076
580127,-3056,-29.2076
585128,-3084,-29.2076
590129,-3113,-30.2507
595130,-3141,-29.2076
600131,-3169,-29.2076
605132,-3197,-29.2076
610133,-3226,-30.2507
615134,-3254,-29.2076
620135,-3282,-29.2076
625136,-3310,-29.2076
630137,-3339,-30.2507
635138,-3367,-29.2076
640139,-3395,-29.2076
645141,-3423,-29.2018
650142,-3452,-30.2507
655143,-3480,-29.2076
660144,-3508,-29.2076
665145,-3536,-29.2076
670146,-3565,-30.2507
675147,-3593,-29.2076
680148,-3621,-29.2076
685149,-3649,-29.2076
690150,-3678,-30.2507
695151,-3706,-29.2076
700152,-3734,-29.2076
705153,-3762,-29.2076
710154,-3790,-29.2076
715155,-3819,-30.2507
720157,-3847,-29.2018
725158,-3875,-29.2076
730159,-3904,-30.2507
735160,-3932,-29.2076
740161,-3960,-29.2076
745162,-3988,-29.2076
750163,-4017,-30.2507
755164,-4045,-29.2076
760165,-4073,-29.2076
765166,-4102,-30.2507
770167,-4130,-29.2076
775168,-4158,-29.2076
780170,-4187,-30.2447
785171,-4215,-29.2076
790172,-4244,-30.2507
795173,-4272,-29.2076
800174,-4300,-29.2076
805175,-4329,-30.2507
810176,-4357,-29.2076
815177,-4386,-30.2507
820178,-4414,-29.2076
825179,-4442,-29.2076
830180,-4470,-29.2076
835181,-4499,-30.2507
840182,-4527,-29.2076
845183,-4556,-30.2507
850184,-4584,-29.2076
855186,-4612,-29.2018
860187,-4640,-29.2076
865188,-4669,-30.2507
870189,-4697,-29.2076
875190,-4726,-30.2507
880191,-4754,-29.2076
885192,-4782,-29.2076
890193,-4811,-30.2507
895194,-4839,-29.2076
900195,-4868,-30.2507
905196,-4896,-29.2076
910197,-4924,-29.2076
915198,-4953,-30.2507
920199,-4981,-29.2076
925200,-5009,-29.2076
930202,-5038,-30.2447
935203,-5066,-29.2076
940204,-5094,-29.2076
945205,-5122,-29.2076
950206,-5151,-30.2507
955207,-5179,-29.2076
960208,-5208,-30.2507
965209,-5236,-29.2076
970210,-5264,-29.2076
975211,-5293,-30.2507
