starting
idx,t_us,dL_mm,dDL_mm,dF_mm,dDR_mm,dR_mm,curL,curR,curF,nextL,nextR,nextF,service_us,walls_us
0,2,500,500,500,500,500,0,0,0,0,0,0,1506,14
1,15003,500,85,500,500,500,0,0,0,1,0,0,1509,14
2,30003,500,85,165,500,500,0,0,0,1,0,1,1521,13
3,45003,500,85,165,500,500,0,0,0,1,0,1,1509,14
4,60003,500,85,165,500,1104,0,0,0,1,0,1,1509,14
5,75003,500,85,165,500,1104,0,0,0,1,0,1,1506,14
6,90004,500,78,165,500,1104,0,0,0,1,0,1,1509,13
7,105004,500,78,154,500,1104,0,0,0,1,0,1,1521,13
8,120005,500,78,154,500,1104,0,0,0,1,0,1,1509,14
9,135005,500,78,154,500,1099,0,0,0,1,0,1,1508,14
10,150005,500,78,154,500,1099,0,0,0,1,0,1,1506,14
11,165006,500,81,154,500,1099,0,0,0,1,0,1,1509,13
12,180006,500,81,157,500,1099,0,0,0,1,0,1,1520,14
13,195006,500,81,157,500,1099,0,0,0,1,0,1,1509,14
14,210007,500,81,157,500,1091,0,0,0,1,0,1,1509,13
15,225008,500,81,157,500,1091,0,0,0,1,0,1,1507,13
16,240008,500,82,157,500,1091,0,0,0,1,0,1,1509,13
17,255008,500,82,154,500,1091,0,0,0,1,0,1,1520,14
18,270008,500,82,154,500,1091,0,0,0,1,0,1,1509,14
19,285008,500,82,154,500,1091,0,0,0,1,0,1,1508,14
20,300008,500,82,154,500,1091,0,0,0,1,0,1,1507,13
21,315008,500,81,154,500,1091,0,0,0,1,0,1,1509,13
22,330008,500,81,153,500,1091,0,0,0,1,0,1,1520,14
23,345008,500,81,153,500,1091,0,0,0,1,0,1,1509,14
24,360008,500,81,153,500,1091,0,0,0,1,0,1,1508,14
25,375008,500,81,153,500,1091,0,0,0,1,0,1,1507,13
26,390008,500,80,153,500,1091,0,0,0,1,0,1,1509,14
27,405008,500,80,159,500,1091,0,0,0,1,0,1,1521,14
28,420008,500,80,159,500,1091,0,0,0,1,0,1,1509,14
29,435008,500,80,159,500,1091,0,0,0,1,0,1,1509,13
30,450008,500,80,159,500,1091,0,0,0,1,0,1,1507,13
31,465008,500,77,159,500,1091,0,0,0,1,0,1,1509,13
32,480008,500,77,156,500,1091,0,0,0,1,0,1,1520,14
33,495008,500,77,156,500,1091,0,0,0,1,0,1,1509,14
34,510008,500,77,156,500,1083,0,0,0,1,0,1,1509,13
35,525008,500,77,156,500,1083,0,0,0,1,0,1,1506,14
36,540008,500,78,156,500,1083,0,0,0,1,0,1,1509,13
37,555008,500,78,153,500,1083,0,0,0,1,0,1,1520,14
38,570008,500,78,153,500,1083,0,0,0,1,0,1,1509,14
39,585008,500,78,153,500,1083,0,0,0,1,0,1,1508,14
40,600008,500,78,153,500,1083,0,0,0,1,0,1,1507,14
41,615008,500,77,153,500,1083,0,0,0,1,0,1,1509,13
42,630008,500,77,154,500,1083,0,0,0,1,0,1,1521,14
43,645008,500,77,154,500,1083,0,0,0,1,0,1,1510,13
44,660008,500,77,154,500,1080,0,0,0,1,0,1,1509,14
45,675008,500,77,154,500,1080,0,0,0,1,0,1,1507,13
46,690008,500,76,154,500,1080,0,0,0,1,0,1,1509,13
47,705008,500,76,153,500,1080,0,0,0,1,0,1,1520,14
48,720008,500,76,153,500,1080,0,0,0,1,0,1,1509,14
49,735008,500,76,153,500,1080,0,0,0,1,0,1,1508,14
50,750008,500,76,153,500,1080,0,0,0,1,0,1,1506,14
51,765008,500,80,153,500,1080,0,0,0,1,0,1,1509,13
52,780008,500,80,152,500,1080,0,0,0,1,0,1,1520,14
53,795008,500,80,152,500,1080,0,0,0,1,0,1,1509,14
54,810008,500,80,152,500,1080,0,0,0,1,0,1,1509,13
