Time(us),Position(counts),Speed(rad/s)
2,1,0.0000
5004,1,0.0000
10004,1,0.0000
15007,1,0.0000
20008,1,0.0000
25010,1,0.0000
30012,1,0.0000
35013,1,0.0000
40015,1,0.0000
45017,1,0.0000
50018,1,0.0000
55020,1,0.0000
60021,1,0.0000
65023,1,0.0000
70024,1,0.0000
75026,1,0.0000
80028,1,0.0000
85029,1,0.0000
90031,1,0.0000
95032,1,0.0000
100034,1,0.0000
105036,1,0.0000
110037,1,0.0000
115039,1,0.0000
120040,1,0.0000
125042,1,0.0000
130043,1,0.0000
135045,1,0.0000
140047,1,0.0000
145048,1,0.0000
150050,1,0.0000
155052,1,0.0000
160053,1,0.0000
165055,1,0.0000
170056,1,0.0000
175058,1,0.0000
180059,1,0.0000
185061,1,0.0000
190062,1,0.0000
195064,1,0.0000
200066,1,0.0000
205067,1,0.0000
210069,1,0.0000
215071,1,0.0000
220072,1,0.0000
225074,1,0.0000
230075,1,0.0000
235077,1,0.0000
240078,1,0.0000
245080,1,0.0000
250082,1,0.0000
255083,1,0.0000
260085,1,0.0000
265086,1,0.0000
270088,1,0.0000
275090,1,0.0000
280091,1,0.0000
285093,1,0.0000
290094,1,0.0000
295096,1,0.0000
300097,1,0.0000
305099,1,0.0000
310101,1,0.0000
315102,1,0.0000
320104,1,0.0000
325106,1,0.0000
330107,1,0.0000
335109,1,0.0000
340110,1,0.0000
345112,1,0.0000
350113,1,0.0000
355115,1,0.0000
360117,1,0.0000
365118,1,0.0000
370120,1,0.0000
375121,1,0.0000
380123,1,0.0000
385125,1,0.0000
390126,1,0.0000
395128,1,0.0000
400129,1,0.0000
405131,1,0.0000
410132,1,0.0000
415134,1,0.0000
420136,1,0.0000
425137,1,0.0000
430139,1,0.0000
435141,1,0.0000
440142,1,0.0000
445144,1,0.0000
450145,1,0.0000
455147,1,0.0000
460148,1,0.0000
465150,1,0.0000
470151,1,0.0000
475153,1,0.0000
480155,1,0.0000
485156,1,0.0000
490158,1,0.0000
495160,1,0.0000
500161,1,0.0000
505163,1,0.0000
510164,1,0.0000
515166,1,0.0000
520167,1,0.0000
525169,1,0.0000
530171,1,0.0000
535172,1,0.0000
540174,1,0.0000
545175,1,0.0000
550177,1,0.0000
555179,1,0.0000
560180,1,0.0000
565182,1,0.0000
570183,1,0.0000
575185,1,0.0000
580186,1,0.0000
585188,1,0.0000
590190,1,0.0000
595191,1,0.0000
600193,1,0.0000
605195,1,0.0000
610196,1,0.0000
615198,1,0.0000
620199,1,0.0000
625201,1,0.0000
630202,1,0.0000
635204,1,0.0000
640206,1,0.0000
645207,1,0.0000
650209,1,0.0000
655210,1,0.0000
660212,1,0.0000
665214,1,0.0000
670215,1,0.0000
675217,1,0.0000
680218,1,0.0000
685220,1,0.0000
690221,1,0.0000
695223,1,0.0000
700225,1,0.0000
705226,1,0.0000
710228,1,0.0000
715230,1,0.0000
720231,1,0.0000
725233,1,0.0000
730234,1,0.0000
735236,1,0.0000
740237,1,0.0000
745239,1,0.0000
750240,1,0.0000
