Time(us),Position(counts),Speed(rad/s)
2,1,0.0000
5003,1,0.0000
10004,1,0.0000
15004,1,0.0000
20004,1,0.0000
25004,1,0.0000
30004,1,0.0000
35004,1,0.0000
40004,1,0.0000
45004,1,0.0000
50004,1,0.0000
55004,1,0.0000
60004,1,0.0000
65004,1,0.0000
70004,1,0.0000
75004,1,0.0000
80004,1,0.0000
85004,1,0.0000
90004,1,0.0000
95004,1,0.0000
100004,1,0.0000
105004,1,0.0000
110004,1,0.0000
115004,1,0.0000
120004,1,0.0000
125004,1,0.0000
130004,1,0.0000
135004,1,0.0000
140004,1,0.0000
145004,1,0.0000
150004,1,0.0000
155004,1,0.0000
160004,1,0.0000
165004,1,0.0000
170004,1,0.0000
175004,1,0.0000
180004,1,0.0000
185004,1,0.0000
190004,1,0.0000
195004,1,0.0000
200004,1,0.0000
205004,1,0.0000
210004,1,0.0000
215004,1,0.0000
220004,1,0.0000
225004,1,0.0000
230004,1,0.0000
235004,1,0.0000
240004,1,0.0000
245004,1,0.0000
250004,1,0.0000
255004,1,0.0000
260004,1,0.0000
265004,1,0.0000
270004,1,0.0000
275004,1,0.0000
280004,1,0.0000
285004,1,0.0000
290004,1,0.0000
295004,1,0.0000
300004,1,0.0000
305004,1,0.0000
310004,1,0.0000
315004,1,0.0000
320004,1,0.0000
325004,1,0.0000
330004,1,0.0000
335004,1,0.0000
340004,1,0.0000
345004,1,0.0000
350004,1,0.0000
355004,1,0.0000
360004,1,0.0000
365004,1,0.0000
370004,1,0.0000
375004,1,0.0000
380004,1,0.0000
385004,1,0.0000
390004,1,0.0000
395004,1,0.0000
400004,1,0.0000
405004,1,0.0000
410004,1,0.0000
415004,1,0.0000
420004,1,0.0000
425004,1,0.0000
430004,1,0.0000
435004,1,0.0000
440004,1,0.0000
445004,1,0.0000
450004,1,0.0000
455004,1,0.0000
460004,1,0.0000
465004,1,0.0000
470004,1,0.0000
475004,1,0.0000
480004,1,0.0000
485004,1,0.0000
490004,1,0.0000
495004,1,0.0000
500004,1,0.0000
505004,1,0.0000
510004,1,0.0000
515004,1,0.0000
520004,1,0.0000
525004,1,0.0000
530004,1,0.0000
535004,1,0.0000
540004,1,0.0000
545004,1,0.0000
550004,1,0.0000
555004,1,0.0000
560004,1,0.0000
565004,1,0.0000
570004,1,0.0000
575004,1,0.0000
580004,1,0.0000
585004,1,0.0000
590004,1,0.0000
595004,1,0.0000
600004,1,0.0000
605004,1,0.0000
610004,1,0.0000
615004,1,0.0000
620004,1,0.0000
625004,1,0.0000
630004,1,0.0000
635004,1,0.0000
640004,1,0.0000
645004,1,0.0000
650004,1,0.0000
655004,1,0.0000
660004,1,0.0000
665004,1,0.0000
670004,1,0.0000
675004,1,0.0000
680004,1,0.0000
685004,1,0.0000
690004,1,0.0000
695004,1,0.0000
700004,1,0.0000
705004,1,0.0000
710004,1,0.0000
715004,1,0.0000
720004,1,0.0000
725004,1,0.0000
730004,1,0.0000
735004,1,0.0000
740004,1,0.0000
745004,1,0.0000
750004,1,0.0000
755004,1,0.0000
760004,1,0.0000
765004,1,0.0000
770004,1,0.0000
775004,1,0.0000
780004,1,0.0000
785004,1,0.0000
790004,1,0.0000
795004,1,0.0000
800004,1,0.0000
805004,1,0.0000
810004,1,0.0000
815004,1,0.0000
820004,1,0.0000
825004,1,0.0000
830004,1,0.0000
835004,1,0.0000
840004,1,0.0000
845004,1,0.0000
850004,1,0.0000
855004,1,0.0000
860004,1,0.0000
865004,1,0.0000
870004,1,0.0000
875004,1,0.0000
880004,1,0.0000
885004,1,0.0000
890004,1,0.0000
895004,1,0.0000
900004,1,0.0000
905004,1,0.0000
910004,1,0.0000
915004,1,0.0000
920004,1,0.0000
925004,1,0.0000
930004,1,0.0000
935004,1,0.0000
940004,1,0.0000
945004,1,0.0000
950004,1,0.0000
955004,1,0.0000
960004,1,0.0000
965004,1,0.0000
970004,1,0.0000
975004,1,0.0000
980004,1,0.0000
985004,1,0.0000
990004,1,0.0000
995004,1,0.0000
1000004,1,0.0000
1005004,1,0.0000
1010004,1,0.0000
1015004,1,0.0000
1020004,1,0.0000
1025004,1,0.0000
1030004,1,0.0000
1035004,1,0.0000
1040004,1,0.0000
1045004,1,0.0000
1050004,1,0.0000
1055004,1,0.0000
1060004,1,0.0000
1065004,1,0.0000
1070004,1,0.0000
1075004,1,0.0000
1080004,1,0.0000
1085004,1,0.0000
1090004,1,0.0000
1095004,1,0.0000
1100004,1,0.0000
1105004,1,0.0000
1110004,1,0.0000
1115004,1,0.0000
1120004,1,0.0000
1125004,1,0.0000
1130004,1,0.0000
1135004,1,0.0000
1140004,1,0.0000
1145004,1,0.0000
1150004,1,0.0000
1155004,1,0.0000
1160004,1,0.0000
1165004,1,0.0000
1170004,1,0.0000
1175004,1,0.0000
1180004,1,0.0000
1185004,1,0.0000
1190004,1,0.0000
1195004,1,0.0000
1200004,1,0.0000
1205004,1,0.0000
1210004,1,0.0000
1215004,1,0.0000
1220004,1,0.0000
1225004,1,0.0000
1230004,1,0.0000
1235004,1,0.0000
1240004,1,0.0000
1245004,1,0.0000
1250004,1,0.0000
1255004,1,0.0000
1260004,1,0.0000
1265004,1,0.0000
1270004,1,0.0000
1275004,1,0.0000
1280004,1,0.0000
1285004,1,0.0000
1290004,1,0.0000
1295004,1,0.0000
1300004,1,0.0000
1305004,1,0.0000
1310004,1,0.0000
1315004,1,0.0000
1320004,1,0.0000
1325004,1,0.0000
1330004,1,0.0000
1335004,1,0.0000
1340004,1,0.0000
1345004,1,0.0000
1350004,1,0.0000
1355004,1,0.0000
1360004,1,0.0000
1365004,1,0.0000
1370004,1,0.0000
1375004,1,0.0000
1380004,1,0.0000
1385004,1,0.0000
1390004,1,0.0000
1395004,1,0.0000
1400004,1,0.0000
1405004,1,0.0000
1410004,1,0.0000
1415004,1,0.0000
1420004,1,0.0000
1425004,1,0.0000
1430004,1,0.0000
1435004,1,0.0000
1440004,1,0.0000
1445004,1,0.0000
1450004,1,0.0000
1455004,1,0.0000
1460004,1,0.0000
1465004,1,0.0000
1470004,1,0.0000
1475004,1,0.0000
1480004,1,0.0000
1485004,1,0.0000
1490004,1,0.0000
1495004,1,0.0000
1500004,1,0.0000
1505004,1,0.0000
1510004,1,0.0000
1515004,1,0.0000
1520004,1,0.0000
1525004,1,0.0000
1530004,1,0.0000
1535004,1,0.0000
1540004,1,0.0000
1545004,1,0.0000
1550004,1,0.0000
1555004,1,0.0000
1560004,1,0.0000
